Byggingar- og niðurrifsúrgangur,Ár,2012,2013,2014,2015,2016,2017,2018,2020,...
BN.1,Endurnýting,0.63,0.79,0.64,0.82,0.88,0.88,0.91,,
BN.2,Endurnýting markmið 2020,,,,,,,,0.70,0.70
