Rafhlöðu- og rafgeymaúrgangur söfnun,Ár,2011,2012,2013,2014,2015,2016,2017,2018,2020,2024,...
RORUII.1,Heildarsöfnun rafhlöðu- og rafgeymaúrgangs,0.87,0.9,0.87,0.75,0.68,0.58,0.62,0.69,,
RORUII.2,Rafhlöður,0.2,0.31,0.35,0.34,0.33,0.31,0.47,0.33,,,
RORUII.3,Blýsýrurafgeymar,0.99,0.99,0.94,0.8,0.72,0.6,0.64,0.73,,,
RORUII.4,Heildarsöfnun markmið 2012,,0.25,0.25,0.25,0.25,0.25,,,,,
RORUII.5,Heildarsöfnun markmið 2016,,,,,,0.45,0.45,0.44,0.45,,
RORUII.6,Heildarsöfnun markmið 2020,,,,,,,,,0.65,0.65,
RORUII.7,Heildarsöfnun markmið 2024,,,,,,,,,,0.85,0.85
