2014,HS Orka,Reykjanes,B-18924,RN-24,"1146,50963325","318919,77","374268,151"
2014,HS Orka,Reykjanes,B-18925,RN-25,"2112,56102655","318255,77","374205,536"
2014,HS Orka,Reykjanes,B-18926,RN-26,"2414,6345091","318297,296","374200,038"
2014,HS Orka,Reykjanes,B-18927,RN-27,"1494,21193285","318331,55","374188,538"
2014,HS Orka,Reykjanes,B-18928,RN-28,"1410,8269218","318472,754","374199,828"
2014,HS Orka,Reykjanes,B-18929,RN-29,NULL,317446,374756
2014,HS Orka,Reykjanes,B-18963,RN-13B,"751,0186655","318424,016","374503,325"
2014,HS Orka,Reykjanes,B-18964,RN-14B,"1502,59236105","318674,34","374347,438"
2014,HS Orka,Reykjanes,B-18970,RN-20B,"-1457,1625427","319289,626","374041,461"
2014,HS Orka,Reykjanes,B-19431,RN-31,"744,4684472","318422,92","374457,33"
2014,Veitur ohf.,Hvammsvík,B-24306,HV-10,NULL,376169,432750
2014,Veitur ohf.,Bær í Bæjarsveit,B-27403,BB-03,"174,024131819371","378046,6","460154,3"
2014,Veitur ohf.,Laugarholt,B-27481,LH-01,"109,203378886873","377892,1","461242,2"
2014,Veitur ohf.,Stóra-Drageyri,B-27736,SD-06,"95,8437222927138",378177,"448339,3"
2014,Veitur ohf.,Hreðavatn,B-29203,BI-03,"29,7949404628745","378662,6","476573,3"
2014,Veitur ohf.,Svartagil,B-29213,SG-03,"79,0060637406505","380105,3","475046,6"
2014,Veitur ohf.,Munaðarnes,B-29568,MN-08,"58,041167946186",375239,"469117,1"
2014,Veitur ohf.,Hofstaðir,B-31801,HO-01,"245,778453885609","323204,08","509330,76"
2014,Veitur ohf.,Ögur,B-31802,HO-02,"-72,3395761217615",322485,510315
2014,RARIK,Gröf í Miðdölum,B-33209,GR-09,0,"381145,318","497908,531"
2014,RARIK,Gröf í Miðdölum,B-33211,GR-11,"22,8878418171728","381211,261","497961,691"
2014,RARIK,Gröf í Miðdölum,B-33215,GR-15,"69,0274293252279","381222,597","497989,132"
2014,Orkubú Vestfjarða,OV-Reykhólar,B-35731,RH-01,"26,548936746307",351772,"554402,6"
2014,Orkubú Vestfjarða,OV-Reykhólar,B-35732,RH-02,"66,3723418657675","351333,8","553377,3"
2014,Orkubú Vestfjarða,OV-Reykhólar,B-35737,RH-07,0,"351774,6",554408
2014,Orkubú Vestfjarða,Hitaveita Suðureyrar,B-39102,LA-02,"68,3278150074501","298548,392","631016,426"
2014,Orkubú Vestfjarða,Hitaveita Suðureyrar,B-39105,LA-05,0,"298611,5","630896,5"
