45,Reiðhjallavirkjun,Orkubú Vestfjarða,1,Vatnsaflsvirkjun,520,Pelton,1991,NULL,1,307135,630379
46,Tungudalsvirkjun,Orkubú Vestfjarða,1,Vatnsaflsvirkjun,700,Francis,2006,NULL,1,309602,624376
47,Þverárvirkjun,Orkubú Vestfjarða,1,Vatnsaflsvirkjun,2400,Francis,2001,NULL,1,375505,578397
48,Árteigsvirkjun 4,Raflækur ehf,1,Vatnsaflsvirkjun,480,Pelton,2005,NULL,1,564689,603405
49,Árteigsvirkjun 5,Raflækur ehf,1,Vatnsaflsvirkjun,700,Pelton,2009,NULL,1,563063,603977
50,Búðarárvirkjun,Rafveita Reyðarfjarðar,1,Vatnsaflsvirkjun,250,Pelton,1930,NULL,1,725658,512339
51,Rangárvirkjun Skógargerði,Vatnsvirkjun Skógargerði,1,Vatnsaflsvirkjun,160,Francis,2012,NULL,1,712523,546424
52,Selárvirkjun,Refstaður ehf.,1,Vatnsaflsvirkjun,175,Crossflow,2007,NULL,1,690042,582194
53,Systragilsvirkjun,Systragilsvirkjun ehf.,1,Vatnsaflsvirkjun,70,Pelton,2011,NULL,1,550545,579192
54,Elliðaárvirkjun,Orkuveita Reykjavíkur,1,Vatnsaflsvirkjun,3160,Francis,1921,NULL,1,361789,404904
55,Koltunguvirkjun,Ólafur Eggertsson,1,Vatnsaflsvirkjun,18,Pelton,1928,2019,0,468015,339706
56,Hvestuvirkjun,Hvestuveita ehf,1,Vatnsaflsvirkjun,850,Pelton,2004,NULL,1,283941,585654
57,Hvestuvirkjun,Hvestuveita ehf,1,Vatnsaflsvirkjun,"552,2",Francis,2004,NULL,1,283941,585654
58,Dalsorka,Dalsorka ehf,1,Vatnsaflsvirkjun,550,Pelton,2002,NULL,1,302937,627229
59,Rollulækjarvirkjun,Króksmenn sf.,1,Vatnsaflsvirkjun,50,Pelton,2001,NULL,1,463200,564011
60,Beinárvirkjun,Hótel Geysir,1,Vatnsaflsvirkjun,75,Kaplan,2003,2019,0,437072,423694
61,Sandárvirkjun IV,Eyvindartunga ehf.,1,Vatnsaflsvirkjun,295,Crossflow,2003,NULL,1,415262,412146
62,Sandárvirkjun V,Eyvindartunga ehf.,1,Vatnsaflsvirkjun,456,Francis,2005,NULL,1,414676,412119
63,Urðarfellsvirkjun,Ferðaþjónustan Húsafelli,1,Vatnsaflsvirkjun,1150,Francis,2018,NULL,1,407426,467385
64,Belgsholt,Belgsholt ehf,3,Vindmylla,30,Láréttur ás,2011,2019,0,354188,436697
65,Vindmyllur Þykkvabæ,Biokraft ehf,3,Vindmylla,1200,Láréttur ás,2014,NULL,1,420990,361701
66,Hafið,Landsvirkjun,3,Vindmylla,1800,Láréttur ás,2013,NULL,1,464417,402703
67,Hellisheiðarvirkjun,Orka Náttúrunnar,2,Jarðvarmavirkjun,303000,Flash,2006,NULL,1,384646,395223
68,Nesjavallavirkjun,Orka Náttúrunnar,2,Jarðvarmavirkjun,120000,Flash,1998,NULL,1,389713,402461
69,Kröfluvirkjun,Landsvirkjun,2,Jarðvarmavirkjun,60000,Flash,1977,NULL,1,602545,580265
70,Bjarnarflag,Landsvirkjun,2,Jarðvarmavirkjun,3200,Flash,1969,NULL,1,599135,573413
71,Svartsengi,HS Orka,2,Jarðvarmavirkjun,76400,NULL,NULL,NULL,1,331640,379650
72,Reykjanesvirkjun,HS Orka,2,Jarðvarmavirkjun,100000,Flash,2006,NULL,1,318910,374281
73,Orkustöð,Orkuveita Húsavíkur,2,Jarðvarmavirkjun,2000,ORC (Rankin),2000,2008,0,574781,614909
74,Þeistareykjavirkjun,Landsvirkjun,2,Jarðvarmavirkjun,90000,Flash,2017,NULL,1,"592930,9","600718,4"
75,Grímsey,RARIK,4,Eldsneytisstöð,681,Dísill,NULL,NULL,1,543718,672088
76,Grímsstaðir á fjöllum,RARIK,4,Eldsneytisstöð,100,NULL,NULL,NULL,1,632260,574603
77,Flatey,Orkubú Vestfjarða,4,Eldsneytisstöð,182,NULL,NULL,NULL,1,317375,547137
78,Bolungarvík,Landsnet,100,Varaafl,10800,NULL,NULL,NULL,1,308653,634593
79,Kaldárvirkjun í Önundarfirði,AB-Fasteignir,1,Vatnsaflsvirkjun,400,Pelton,2018,NULL,1,298779,622438
80,Þverárvirkjun Önundarfirði,AB-Fasteignir,1,Vatnsaflsvirkjun,400,Pelton,2018,NULL,1,301422,620746
81,Kirkjubólsvirkjun,Kirkjuból,1,Vatnsaflsvirkjun,15,Turgo,2017,NULL,1,298626,615394
82,Búrfellsvirkjun II,Landsvirkjun,1,Vatnsaflsvirkjun,110000,Francis,2018,NULL,1,460932,400368
83,Glerárvirkjun 2,Fallorka ehf,1,Vatnsaflsvirkjun,3300,Pelton,2018,NULL,1,539909,575790
84,Tunguvirkjun,Sigurður Árni Magnússon,1,Vatnsaflsvirkjun,136,Pelton,NULL,NULL,1,278140,578235
