Nr,Kortategund,HeitiKorts,StadurTekid,Nr1,Nr2,Stofnun,Mal,Ar,StadurUnnid,Tungumal,Filma,Tomt,Tala1,Tala2,Tala3,Tala4,Tala5,Tala6,Tala7,Tala8,Tegund
2,Grunnkort,Orkugrunnkort OS 20000,Berufjörður,2048,20000,Orkustofnun,62x85,1977,[Reykjavík],Íslenska,Filma/útprentað,,"711314,1","492940,5","727310,4","493193,7","727468,6",483196,"711472,3","482942,9",OS_2
3,Grunnkort,Orkugrunnkort OS 20000,Geithellnadalur,2146,20000,Orkustofnun,62x85,1977,[Reykjavík],Íslenska,Filma/útprentað,,"695634,2",472692,"711630,5","472945,2","711788,7","462947,5","695792,5","462694,3",OS_3
4,Grunnkort,Orkugrunnkort OS 20000,Fossárdalur,2147,20000,Orkustofnun,62x85,1977,[Reykjavík],Íslenska,Filma/útprentað,,695476,"482689,7","711472,3","482942,9","711630,5","472945,2","695634,2",472692,OS_4
5,Grunnkort,Orkugrunnkort OS 20000,Ódáðavötn,2148,20000,Orkustofnun,62x85,1977,[Reykjavík],Íslenska,Filma/útprentað,,"695317,8","492687,4","711314,1","492940,5","711472,3","482942,9",695476,"482689,7",OS_5
6,Grunnkort,Orkugrunnkort OS 20000,Skriðuvatn,2149,20000,Orkustofnun,62x85,1977,[Reykjavík],Íslenska,Filma/útprentað,,"695159,6","502685,1","711155,9","502938,2","711314,1","492940,5","695317,8","492687,4",OS_6
7,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2150,20000,Orkustofnun,62x85,1977,[Reykjavík],Íslenska,Filma/útprentað,,"695001,4","512682,8","710997,7","512935,9","711155,9","502938,2","695159,6","502685,1",OS_7
8,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2151,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,"694843,3","522680,5","710839,5","522933,6","710997,7","512935,9","695001,4","512682,8",OS_8
9,Grunnkort,Orkugrunnkort OS 20000,Kollumúli,2245,20000,Orkustofnun,62x85,1977,[Reykjavík],Íslenska,Filma/útprentað,,"679796,2","462441,2","695792,5","462694,3","695950,7","452696,6","679954,4","452443,5",OS_9
10,Grunnkort,Orkugrunnkort OS 20000,Norðurhnúta,2246,20000,Orkustofnun,62x85,1977,[Reykjavík],Íslenska,Filma/útprentað,,679638,"472438,8","695634,2",472692,"695792,5","462694,3","679796,2","462441,2",OS_10
11,Grunnkort,Orkugrunnkort OS 20000,Hraun,2247,20000,Orkustofnun,62x85,1977,[Reykjavík],Íslenska,Filma/útprentað,,"679479,7","482436,5",695476,"482689,7","695634,2",472692,679638,"472438,8",OS_11
12,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2248,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,"679321,5","492434,2","695317,8","492687,4",695476,"482689,7","679479,7","482436,5",OS_12
13,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2249,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,"679163,3","502431,9","695159,6","502685,1","695317,8","492687,4","679321,5","492434,2",OS_13
14,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2250,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,"679005,2","512429,6","695001,4","512682,8","695159,6","502685,1","679163,3","502431,9",OS_14
15,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2251,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,678847,"522427,3","694843,3","522680,5","695001,4","512682,8","679005,2","512429,6",OS_15
16,Grunnkort,Orkugrunnkort OS 20000,Hengifossárvatn,2252,20000,Orkustofnun,62x85,1981,[Reykjavík],Íslenska,Filma/útprentað,,"678688,9",532425,"694685,1","532678,1","694843,3","522680,5",678847,"522427,3",OS_16
17,Grunnkort,Orkugrunnkort OS 20000,Skjöldólfsstaðir,2253,20000,Orkustofnun,62x85,1981,[Reykjavík],Íslenska,Filma/útprentað,,"678530,7","542422,7",694527,"542675,8","694685,1","532678,1","678688,9",532425,OS_17
18,Grunnkort,Orkugrunnkort OS 20000,Hofteigur,2254,20000,Orkustofnun,62x85,1981,[Reykjavík],Íslenska,Filma/útprentað,,"678372,6","552420,4","694368,8","552673,5",694527,"542675,8","678530,7","542422,7",OS_18
19,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2346,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,"663641,7","472185,7",679638,"472438,8","679796,2","462441,2","663799,9",462188,OS_19
20,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2347,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,"663483,4","482183,4","679479,7","482436,5",679638,"472438,8","663641,7","472185,7",OS_20
21,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2348,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,"663325,2","492181,1","679321,5","492434,2","679479,7","482436,5","663483,4","482183,4",OS_21
22,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2349,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,663167,"502178,8","679163,3","502431,9","679321,5","492434,2","663325,2","492181,1",OS_22
23,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2350,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,"663008,9","512176,5","679005,2","512429,6","679163,3","502431,9",663167,"502178,8",OS_23
24,Grunnkort,Orkugrunnkort OS 20000,Eiríksstaðir,2351,20000,Orkustofnun,62x85,1977,[Reykjavík],Íslenska,Filma/útprentað,,"662850,7","522174,2",678847,"522427,3","679005,2","512429,6","663008,9","512176,5",OS_24
25,Grunnkort,Orkugrunnkort OS 20000,Hákonarstaðir,2352,20000,Orkustofnun,62x85,1982,[Reykjavík],Íslenska,Filma/útprentað,,"662692,6","532171,9","678688,9",532425,678847,"522427,3","662850,7","522174,2",OS_25
26,Grunnkort,Orkugrunnkort OS 20000,Stóra-Svalbarð,2353,20000,Orkustofnun,62x85,1982,[Reykjavík],Íslenska,Filma/útprentað,,"662534,4","542169,6","678530,7","542422,7","678688,9",532425,"662692,6","532171,9",OS_26
27,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2447,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,647487,"481930,3","663483,4","482183,4","663641,7","472185,7","647645,2","471932,6",OS_27
28,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2448,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,"647328,8",491928,"663325,2","492181,1","663483,4","482183,4",647487,"481930,3",OS_28
29,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2449,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,"647170,6","501925,7",663167,"502178,8","663325,2","492181,1","647328,8",491928,OS_29
30,Grunnkort,Orkugrunnkort OS 20000,Laugarvellir,2450,20000,Orkustofnun,62x85,1982,[Reykjavík],Íslenska,Filma/útprentað,,"647012,4","511923,4","663008,9","512176,5",663167,"502178,8","647170,6","501925,7",OS_30
31,Grunnkort,Orkugrunnkort OS 20000,Brúarsel,2451,20000,Orkustofnun,62x85,1982,[Reykjavík],Íslenska,Filma/útprentað,,"646854,3","521921,2","662850,7","522174,2","663008,9","512176,5","647012,4","511923,4",OS_31
32,Grunnkort,Orkugrunnkort OS 20000,Þríhyrningsvatn,2452,20000,Orkustofnun,62x85,1982,[Reykjavík],Íslenska,Filma/útprentað,,"646696,2","531918,9","662692,6","532171,9","662850,7","522174,2","646854,3","521921,2",OS_32
33,Grunnkort,Orkugrunnkort OS 20000,Sænautafell,2453,20000,Orkustofnun,62x85,1982,[Reykjavík],Íslenska,Filma/útprentað,,646538,"541916,6","662534,4","542169,6","662692,6","532171,9","646696,2","531918,9",OS_33
34,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2547,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,"631490,6","481677,2",647487,"481930,3","647645,2","471932,6","631648,8","471679,5",OS_34
35,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2548,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,"631332,4",491675,"647328,8",491928,647487,"481930,3","631490,6","481677,2",OS_35
36,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2549,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,"631174,2","501672,7","647170,6","501925,7","647328,8",491928,"631332,4",491675,OS_36
37,Grunnkort,Orkugrunnkort OS 20000,Álftadalur,2550,20000,Orkustofnun,62x85,1982,[Reykjavík],Íslenska,Filma/útprentað,,631016,"511670,4","647012,4","511923,4","647170,6","501925,7","631174,2","501672,7",OS_37
38,Grunnkort,Orkugrunnkort OS 20000,Krepputunga,2551,20000,Orkustofnun,62x85,1982,[Reykjavík],Íslenska,Filma/útprentað,,"630857,9","521668,1","646854,3","521921,2","647012,4","511923,4",631016,"511670,4",OS_38
39,Grunnkort,Orkugrunnkort OS 20000,Arnardalsalda,2552,20000,Orkustofnun,62x85,1981,[Reykjavík],Íslenska,Filma/útprentað,,"630699,7","531665,9","646696,2","531918,9","646854,3","521921,2","630857,9","521668,1",OS_39
40,Grunnkort,Orkugrunnkort OS 20000,Grafarlönd,2553,20000,Orkustofnun,62x85,1981,[Reykjavík],Íslenska,Filma/útprentað,,"630541,6","541663,6",646538,"541916,6","646696,2","531918,9","630699,7","531665,9",OS_40
41,Grunnkort,Orkugrunnkort OS 20000,Möðrudalur,2554,20000,Orkustofnun,62x85,1981,[Reykjavík],Íslenska,Filma/útprentað,,"630383,4","551661,3","646379,9","551914,3",646538,"541916,6","630541,6","541663,6",OS_41
42,Grunnkort,Orkugrunnkort OS 20000,Víðidalur,2555,20000,Orkustofnun,62x85,1981,[Reykjavík],Íslenska,Filma/útprentað,,"630225,3",561659,"646221,7",561912,"646379,9","551914,3","630383,4","551661,3",OS_42
43,Grunnkort,Orkugrunnkort OS 20000,Framland,2556,20000,Orkustofnun,62x85,1981,[Reykjavík],Íslenska,Filma/útprentað,,"630067,1","571656,8","646063,6","571909,7","646221,7",561912,"630225,3",561659,OS_43
44,Grunnkort,Orkugrunnkort OS 20000,Grímsstaðir,2557,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,629909,"581654,5","645905,4","581907,4","646063,6","571909,7","630067,1","571656,8",OS_44
45,Grunnkort,Orkugrunnkort OS 20000,Víðirhóll,2558,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,"629750,8","591652,2","645747,3","591905,2","645905,4","581907,4",629909,"581654,5",OS_45
46,Grunnkort,Orkugrunnkort OS 20000,Kreppuhraun,2647,20000,Orkustofnun,62x85,1983,[Reykjavík],Íslenska,Filma/útprentað,,"615494,2","481424,1","631490,6","481677,2","631648,8","471679,5","615652,4","471426,3",OS_46
47,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2648,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,615336,"491421,9","631332,4",491675,"631490,6","481677,2","615494,2","481424,1",OS_47
48,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2649,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,"615177,8","501419,7","631174,2","501672,7","631332,4",491675,615336,"491421,9",OS_48
49,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2650,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,"615019,6","511417,4",631016,"511670,4","631174,2","501672,7","615177,8","501419,7",OS_49
50,Grunnkort,Orkugrunnkort OS 20000,Herðubreiðartögl,2651,20000,Orkustofnun,62x85,1981,[Reykjavík],Íslenska,Filma/útprentað,,"614861,5","521415,1","630857,9","521668,1",631016,"511670,4","615019,6","511417,4",OS_50
51,Grunnkort,Orkugrunnkort OS 20000,Herðubreið,2652,20000,Orkustofnun,62x85,1981,[Reykjavík],Íslenska,Filma/útprentað,,"614703,3","531412,9","630699,7","531665,9","630857,9","521668,1","614861,5","521415,1",OS_51
52,Grunnkort,Orkugrunnkort OS 20000,Fjallagjá,2655,20000,Orkustofnun,62x85,1981,[Reykjavík],Íslenska,Filma/útprentað,,"614228,8","561406,1","630225,3",561659,"630383,4","551661,3",614387,"551408,3",OS_52
53,Grunnkort,Orkugrunnkort OS 20000,Hrossaborg,2656,20000,Orkustofnun,62x85,1981,[Reykjavík],Íslenska,Filma/útprentað,,"614070,7","571403,8","630067,1","571656,8","630225,3",561659,"614228,8","561406,1",OS_53
54,Grunnkort,Orkugrunnkort OS 20000,Sauðaklifshöfði,2657,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,"613912,5","581401,5",629909,"581654,5","630067,1","571656,8","614070,7","571403,8",OS_54
55,Grunnkort,Orkugrunnkort OS 20000,Norðmelur,2658,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,"613754,3","591399,3","629750,8","591652,2",629909,"581654,5","613912,5","581401,5",OS_55
56,Grunnkort,Orkugrunnkort OS 20000,Dettifoss,2659,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,"613596,2",601397,"629592,6","601649,9","629750,8","591652,2","613754,3","591399,3",OS_56
57,Grunnkort,Orkugrunnkort OS 20000,Hafursstaðir,2660,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,613438,"611394,7","629434,5","611647,6","629592,6","601649,9","613596,2",601397,OS_57
58,Grunnkort,Orkugrunnkort OS 20000,Áshöfði,2661,20000,Orkustofnun,62x85,1975,[Reykjavík],Íslenska,Filma/útprentað,,"613279,8","621392,4","629276,3","621645,3","629434,5","611647,6",613438,"611394,7",OS_58
59,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2748,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,"599339,6","491168,8",615336,"491421,9","615494,2","481424,1","599497,8",481171,OS_59
60,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2749,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,"599181,4","501166,6","615177,8","501419,7",615336,"491421,9","599339,6","491168,8",OS_60
61,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2750,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,"599023,2","511164,4","615019,6","511417,4","615177,8","501419,7","599181,4","501166,6",OS_61
62,Grunnkort,Orkugrunnkort RARIK 20000,Eilífsvötn / Jökulsá,2758,20000,RARIK,62x85,1961,[Reykjavík],Íslenska,Filma/útprentað,,"597756,2","591145,3","613752,6","591398,4","613910,8","581400,6","597914,4","581147,5",OS_62
63,Grunnkort,Orkugrunnkort OS 20000,[Án titils],2848,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,"583343,2","490915,8","599339,6","491168,8","599497,8",481171,"583501,4","480917,9",OS_63
64,Grunnkort,Orkugrunnkort OS 20000,Hafursstaðir,2952,20000,Orkustofnun,62x85,1982,[Reykjavík],Íslenska,Filma/útprentað,,566714,"530653,9","582710,4","530906,9","582868,6","520909,1","566872,2","520656,1",OS_64
65,Grunnkort,Orkugrunnkort OS 20000,Íshólsvatn,2953,20000,Orkustofnun,62x85,1982,[Reykjavík],Íslenska,Filma/útprentað,,"566555,8","540651,6","582552,3","540904,6","582710,4","530906,9",566714,"530653,9",OS_65
66,Grunnkort,Orkugrunnkort OS 20000,Víðiker,2954,20000,Orkustofnun,62x85,1982,[Reykjavík],Íslenska,Filma/útprentað,,"566397,7","550649,4","582394,1","550902,4","582552,3","540904,6","566555,8","540651,6",OS_66
67,Grunnkort,Orkugrunnkort OS 20000,[Án titils],3139,20000,Orkustofnun,62x85,1972,[Reykjavík],Íslenska,Filma/útprentað,,"536777,5","400175,5","552774,2","400428,7","552932,5","390430,7","536935,8","390177,5",OS_67
68,Grunnkort,Orkugrunnkort OS 20000,Fljótsoddi,3140,20000,Orkustofnun,62x85,1972,[Reykjavík],Íslenska,Filma/útprentað,,"536619,3","410173,4",552616,"410426,5","552774,2","400428,7","536777,5","400175,5",OS_68
69,Grunnkort,Orkugrunnkort OS 20000,Útfall,3141,20000,Orkustofnun,62x85,1972,[Reykjavík],Íslenska,Filma/útprentað,,"536461,1","420171,3","552457,8","420424,4",552616,"410426,5","536619,3","410173,4",OS_69
70,Grunnkort,Orkugrunnkort OS 20000,Svínadalur,3235,20000,Orkustofnun,62x85,1985,[Reykjavík],Íslenska,Filma/útprentað,,"521413,9","359930,4","537410,7","360183,6",537569,"350185,6","521572,1","349932,4",OS_70
71,Grunnkort,Orkugrunnkort OS 20000,Skaftárdalur,3236,20000,Orkustofnun,62x85,1985,[Reykjavík],Íslenska,Filma/útprentað,,"521255,6","369928,4","537252,4","370181,6","537410,7","360183,6","521413,9","359930,4",OS_71
72,Grunnkort,Orkugrunnkort OS 20000,Leiðólfsfell,3237,20000,Orkustofnun,62x85,1985,[Reykjavík],Íslenska,Filma/útprentað,,"521097,3","379926,4","537094,1","380179,5","537252,4","370181,6","521255,6","369928,4",OS_72
73,Grunnkort,Orkugrunnkort OS 20000,[Án titils],3238,20000,Orkustofnun,62x85,1972,[Reykjavík],Íslenska,Filma/útprentað,,520939,"389924,4","536935,8","390177,5","537094,1","380179,5","521097,3","379926,4",OS_73
74,Grunnkort,Orkugrunnkort OS 20000,Uxatindar,3239,20000,Orkustofnun,62x85,1972,[Reykjavík],Íslenska,Filma/útprentað,,"520780,7","399922,4","536777,5","400175,5","536935,8","390177,5",520939,"389924,4",OS_74
75,Grunnkort,Orkugrunnkort OS 20000,Langisjór,3240,20000,Orkustofnun,62x85,1972,[Reykjavík],Íslenska,Filma/útprentað,,"520622,5","409920,3","536619,3","410173,4","536777,5","400175,5","520780,7","399922,4",OS_75
76,Grunnkort,Orkugrunnkort OS 20000,Svartikambur,3241,20000,Orkustofnun,62x85,1965,[Reykjavík],Íslenska,Filma/útprentað,,"520464,3","419918,2","536461,1","420171,3","536619,3","410173,4","520622,5","409920,3",OS_76
77,Grunnkort,Orkugrunnkort OS 20000,Hnöttóttalda,3244,20000,Orkustofnun,62x85,1958,[Reykjavík],Íslenska,Filma/útprentað,,"519989,8","449911,9","535986,5",450165,"536144,7","440167,1",520148,439914,OS_77
78,Grunnkort,Orkugrunnkort OS 20000,Kistualda,3245,20000,Orkustofnun,62x85,1958,[Reykjavík],Íslenska,Filma/útprentað,,"519831,6","459909,8","535828,3","460162,9","535986,5",450165,"519989,8","449911,9",OS_78
79,Grunnkort,Orkugrunnkort LV 20000,Háumýrar,3246,20000,Landsvirkjun,62x85,1985,[Reykjavík],Íslenska,Filma/útprentað,,"519671,8","469906,5",535668,"470159,5","535826,5","460161,8",519830,"459908,7",OS_79
80,Grunnkort,Orkugrunnkort LV 20000,Þjórsárkvíslar,3247,20000,Landsvirkjun,62x85,1985,[Reykjavík],Íslenska,Filma/útprentað,,"519513,7","479935,9","535510,2","480157,4","535668,3","470159,6","519671,8","469938,1",OS_80
81,Grunnkort,Orkugrunnkort LV 20000,Klakkur,3248,20000,Landsvirkjun,62x85,1985,[Reykjavík],Íslenska,Filma/útprentað,,"519355,5","489902,1",535352,"490155,2","535510,2","480157,4","519513,7","479904,3",OS_81
82,Grunnkort,Orkugrunnkort LV 20000,Langihryggur,3249,20000,Landsvirkjun,62x85,1985,[Reykjavík],Íslenska,Filma/útprentað,,"519197,4","499899,9","535193,8","500152,9",535352,"490155,2","519355,5","489902,1",OS_82
83,Grunnkort,Orkugrunnkort OS 20000,Laugafell,3250,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,"519040,7","509899,3","535037,4","510152,3","535195,5","500154,5","519198,9","499901,5",OS_83
84,Grunnkort,Orkugrunnkort OS 20000,Reyðarvatn,3251,20000,Orkustofnun,62x85,1985,[Reykjavík],Íslenska,Filma/útprentað,,"518882,6",519897,"534879,2","520150,1","535037,4","510152,3","519040,7","509899,3",OS_84
85,Grunnkort,Orkugrunnkort OS 20000,Urðarvötn,3252,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,"518724,4","529894,8",534721,"530147,8","534879,2","520150,1","518882,6",519897,OS_85
86,Grunnkort,Orkugrunnkort OS 20000,Atlaey,3335,20000,Orkustofnun,62x85,1985,[Reykjavík],Íslenska,Filma/útprentað,,505417,"359677,2","521413,9","359930,4","521572,1","349932,4","505575,3","349679,2",OS_86
87,Grunnkort,Orkugrunnkort OS 20000,Brytalækir,3336,20000,Orkustofnun,62x85,1984,[Reykjavík],Íslenska,Filma/útprentað,,"505258,7","369675,2","521255,6","369928,4","521413,9","359930,4",505417,"359677,2",OS_87
88,Grunnkort,Orkugrunnkort OS 20000,Svartihnúkur,3337,20000,Orkustofnun,62x85,1985,[Reykjavík],Íslenska,Filma/útprentað,,"505100,5","379673,2","521097,3","379926,4","521255,6","369928,4","505258,7","369675,2",OS_88
89,Grunnkort,Orkugrunnkort OS 20000,Jökuldalir,3338,20000,Orkustofnun,62x85,1985,[Reykjavík],Íslenska,Filma/útprentað,,"504942,2","389671,2",520939,"389924,4","521097,3","379926,4","505100,5","379673,2",OS_89
90,Orkugrunnkort RARIK 20000,Orkugrunnkort OS 20000,Faxi,3339,20000,Orkustofnun,62x85,1972,[Reykjavík],Íslenska,Filma/útprentað,,"504783,9","399669,2","520780,7","399922,4",520939,"389924,4","504942,2","389671,2",OS_90
91,Orkugrunnkort RARIK 20000,Orkugrunnkort OS 20000,Litlisjór,3340,20000,Orkustofnun,62x85,1965,[Reykjavík],Íslenska,Filma/útprentað,,"504625,7","409667,2","520622,5","409920,3","520780,7","399922,4","504783,9","399669,2",OS_91
92,Grunnkort,Orkugrunnkort LV 20000,Fontur,3341,20000,Landsvirkjun,62x85,1985,[Reykjavík],Íslenska,Filma/útprentað,,"504466,2","419664,4","520462,7","419917,5","520620,8","409919,7","504624,3","409666,6",OS_92
93,Grunnkort,Orkugrunnkort LV 20000,Þórisós,3342,20000,Landsvirkjun,62x85,1985,[Reykjavík],Íslenska,Filma/útprentað,,504308,"429622,2","520304,5","429915,3","520462,7","419917,5","504466,2","419664,4",OS_93
94,Grunnkort,Orkugrunnkort LV 20000,Illugaver,3343,20000,Landsvirkjun,62x85,1985,[Reykjavík],Íslenska,Filma/útprentað,,"504149,9",439660,"520146,3","439913,1","520304,5","429915,3",504308,"429662,2",OS_94
95,Grunnkort,Orkugrunnkort OS 20000,Bólsstaðir,3344,20000,Orkustofnun,62x85,1958,[Reykjavík],Íslenska,Filma/útprentað,,"503993,1","449658,8","519989,8","449911,9",520148,439914,"504151,2","439660,9",OS_95
96,Grunnkort,Orkugrunnkort OS 20000,Nauthagi,3345,20000,Orkustofnun,62x85,1958,[Reykjavík],Íslenska,Filma/útprentað,,"503834,9","459656,8","519831,6","459909,8","519989,8","449911,9","503993,1","449658,8",OS_96
97,Grunnkort,Orkugrunnkort OS 20000,Arnarfell,3346,20000,Orkustofnun,62x85,1958,[Reykjavík],Íslenska,Filma/útprentað,,"503676,7","469654,7","519673,4","469907,7","519831,6","459909,8","503834,9","459656,8",OS_97
98,Grunnkort,Orkugrunnkort OS 20000,Tvífell,3349,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,"503202,2","499648,4","519198,9","499901,5","519357,1","489903,6","503360,4","489650,5",OS_98
99,Grunnkort,Orkugrunnkort OS 20000,Ásbjarnarvötn,3350,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,"503044,1","509646,2","519040,7","509899,3","519198,9","499901,5","503202,2","499648,4",OS_99
100,Grunnkort,Orkugrunnkort OS 20000,Runukvísl,3351,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,502886,519644,"518882,6",519897,"519040,7","509899,3","503044,1","509646,2",OS_100
101,Grunnkort,Orkugrunnkort OS 20000,Giljá,3352,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,"502727,8","529641,8","518724,4","529894,8","518882,6",519897,502886,519644,OS_101
102,Grunnkort,Orkugrunnkort OS 20000,Ábær,3353,20000,Orkustofnun,62x85,1976,[Reykjavík],Íslenska,Filma/útprentað,,"502569,7","539639,6","518566,3","539892,6","518724,4","529894,8","502727,8","529641,8",OS_102
103,Grunnkort,Orkugrunnkort OS 20000,Mælifellssandur,3436,20000,Orkustofnun,62x85,1984,[Reykjavík],Íslenska,Filma/útprentað,,"489261,9",369422,"505258,7","369675,2",505417,"359677,2","489420,2",359424,OS_103
104,Grunnkort,Orkugrunnkort OS 20000,Torfajökull,3437,20000,Orkustofnun,62x85,1984,[Reykjavík],Íslenska,Filma/útprentað,,"489103,6","379420,1","505100,5","379673,2","505258,7","369675,2","489261,9",369422,OS_104
105,Grunnkort,Orkugrunnkort OS 20000,Landmannalaugar,3438,20000,Orkustofnun,62x85,1965,[Reykjavík],Íslenska,Filma/útprentað,,"488945,4","389418,1","504942,2","389671,2","505100,5","379673,2","489103,6","379420,1",OS_105
106,Grunnkort,Orkugrunnkort OS 20000,Tjörfafell,3439,20000,Orkustofnun,62x85,1965,[Reykjavík],Íslenska,Filma/útprentað,,"488787,1","399416,1","504783,9","399669,2","504942,2","389671,2","488945,4","389418,1",OS_106
107,Grunnkort,Orkugrunnkort OS 20000,Tungnaárkrókur,3440,20000,Orkustofnun,62x85,1961,[Reykjavík],Íslenska,Filma/útprentað,,488629,409414,"504625,7","409667,2","504783,9","399669,2","488787,1","399416,1",OS_107
108,Grunnkort,Orkugrunnkort OS 20000,Snoðnafit,3441,20000,Orkustofnun,62x85,1966,[Reykjavík],Íslenska,Filma/útprentað,,"488470,8",419412,"504467,6","419665,1","504625,7","409667,2",488629,409414,OS_108
109,Grunnkort,Orkugrunnkort OS 20000,Dynkur,3442,20000,Orkustofnun,62x85,1966,[Reykjavík],Íslenska,Filma/útprentað,,"488312,7","429409,9","504309,4",429663,"504467,6","419665,1","488470,8",419412,OS_109
110,Grunnkort,Orkugrunnkort OS 20000,Hvanngiljafoss,3443,20000,Orkustofnun,62x85,1966,[Reykjavík],Íslenska,Filma/útprentað,,"488154,5","439407,8","504151,2","439660,9","504309,4",429663,"488312,7","429409,9",OS_110
111,Grunnkort,Orkugrunnkort OS 20000,Norðlingaalda,3444,20000,Orkustofnun,62x85,1966,[Reykjavík],Íslenska,Filma/útprentað,,"487996,4","449405,8","503993,1","449658,8","504151,2","439660,9","488154,5","439407,8",OS_111
112,Grunnkort,Orkugrunnkort OS 20000,Þverbrekka,3449,20000,Orkustofnun,62x85,1982,[Reykjavík],Íslenska,Filma/útprentað,,"487205,6","499395,4","503202,2","499648,4","503360,4","489650,5","487363,8","489397,5",OS_112
113,Grunnkort,Orkugrunnkort OS 20000,Fossbrekka,3450,20000,Orkustofnun,62x85,1982,[Reykjavík],Íslenska,Filma/útprentað,,"487047,5","509393,2","503044,1","509646,2","503202,2","499648,4","487205,6","499395,4",OS_113
114,Grunnkort,Orkugrunnkort OS 20000,Skiftabakki,3451,20000,Orkustofnun,62x85,1982,[Reykjavík],Íslenska,Filma/útprentað,,"486889,3",519391,502886,519644,"503044,1","509646,2","487047,5","509393,2",OS_114
115,Grunnkort,Orkugrunnkort OS 20000,Ytri-Hraunkúla,3452,20000,Orkustofnun,62x85,1982,[Reykjavík],Íslenska,Filma/útprentað,,"486731,2","529388,7","502727,8","529641,8",502886,519644,"486889,3",519391,OS_115
