Nafn,Númer,Greiningartimi,Spatimi,Villa,Vindhradi (m/s),Vindatt,Hiti,Veður
Reykjavík,1,8/17/2020 12:00,8/21/2020 9:00,,2,NA,10,Alskýjað
Reykjavík,1,8/17/2020 12:00,8/21/2020 12:00,,4,NNA,13,Alskýjað
Reykjavík,1,8/17/2020 12:00,8/21/2020 15:00,,4,NNA,15,Skýjað
Reykjavík,1,8/17/2020 12:00,8/21/2020 18:00,,4,N,15,Heiðskírt
Reykjavík,1,8/17/2020 12:00,8/21/2020 21:00,,3,NA,11,Heiðskírt
Reykjavík,1,8/17/2020 12:00,8/22/2020 0:00,,2,ANA,8,Heiðskírt
Reykjavík,1,8/17/2020 12:00,8/22/2020 3:00,,2,ANA,6,Heiðskírt
Reykjavík,1,8/17/2020 12:00,8/22/2020 6:00,,2,ANA,4,Léttskýjað
Reykjavík,1,8/17/2020 12:00,8/22/2020 9:00,,2,NA,7,Skýjað
Reykjavík,1,8/17/2020 12:00,8/22/2020 12:00,,3,NNA,11,Skýjað
Reykjavík,1,8/17/2020 12:00,8/22/2020 15:00,,2,N,13,Skýjað
Reykjavík,1,8/17/2020 12:00,8/22/2020 18:00,,3,NNV,13,Léttskýjað
Reykjavík,1,8/17/2020 12:00,8/22/2020 21:00,,2,NNA,10,Heiðskírt
Reykjavík,1,8/17/2020 12:00,8/23/2020 0:00,,2,SA,7,Heiðskírt
Reykjavík,1,8/17/2020 12:00,8/23/2020 3:00,,2,ASA,7,Heiðskírt
Reykjavík,1,8/17/2020 12:00,8/23/2020 6:00,,2,ASA,6,Heiðskírt
Reykjavík,1,8/17/2020 12:00,8/23/2020 9:00,,2,ANA,10,Léttskýjað
Reykjavík,1,8/17/2020 12:00,8/23/2020 12:00,,1,NNA,12,Skýjað
Reykjavík,1,8/17/2020 12:00,8/23/2020 18:00,,2,VSV,11,Skýjað
Reykjavík,1,8/17/2020 12:00,8/24/2020 0:00,,2,S,9,Léttskýjað
Reykjavík,1,8/17/2020 12:00,8/24/2020 6:00,,1,SSA,8,Léttskýjað
Reykjavík,1,8/17/2020 12:00,8/24/2020 12:00,,1,VNV,12,Skúrir
Reykjavík,1,8/17/2020 12:00,8/24/2020 18:00,,1,V,11,Skúrir
Reykjavík,1,8/17/2020 12:00,8/25/2020 0:00,,1,SV,8,Skúrir
Reykjavík,1,8/17/2020 12:00,8/25/2020 6:00,,1,S,6,Skýjað
Reykjavík,1,8/17/2020 12:00,8/25/2020 12:00,,2,VNV,11,Léttskýjað
Reykjavík,1,8/17/2020 12:00,8/25/2020 18:00,,2,VNV,11,Léttskýjað
Reykjavík,1,8/17/2020 12:00,8/26/2020 0:00,,2,V,8,Léttskýjað
Reykjavík,1,8/17/2020 12:00,8/26/2020 6:00,,2,NV,7,Léttskýjað
Reykjavík,1,8/17/2020 12:00,8/26/2020 12:00,,3,NV,10,Léttskýjað
Reykjavík,1,8/17/2020 12:00,8/26/2020 18:00,,4,NV,10,Léttskýjað
Reykjavík,1,8/17/2020 12:00,8/27/2020 0:00,,2,NNV,8,Léttskýjað
Reykjavík,1,8/17/2020 12:00,8/27/2020 6:00,,2,NNV,7,Skýjað
Reykjavík,1,8/17/2020 12:00,8/27/2020 12:00,,4,VNV,10,Skúrir
Akureyri,422,8/17/2020 18:00,8/18/2020 0:00,,2,NNV,11,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 1:00,,2,NNV,10,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 2:00,,2,NNV,10,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 3:00,,3,NV,10,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 4:00,,2,NV,10,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 5:00,,3,NV,10,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 6:00,,3,NV,10,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 7:00,,3,NV,9,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 8:00,,3,NV,10,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 9:00,,2,VNV,10,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 10:00,,3,NV,10,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 11:00,,3,NNV,10,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 12:00,,3,NNV,9,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 13:00,,3,NNV,10,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 14:00,,3,NNV,10,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 15:00,,4,NNV,10,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 16:00,,4,NNV,10,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 17:00,,3,NNV,10,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 18:00,,3,NNV,10,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 19:00,,2,NNV,9,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 20:00,,1,A,9,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 21:00,,2,SA,9,Alskýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 22:00,,2,SA,9,Skýjað
Akureyri,422,8/17/2020 18:00,8/18/2020 23:00,,1,ASA,8,Léttskýjað
Akureyri,422,8/17/2020 18:00,8/19/2020 0:00,,1,A,7,Heiðskírt
Akureyri,422,8/17/2020 18:00,8/19/2020 1:00,,1,SSA,6,Heiðskírt
Akureyri,422,8/17/2020 18:00,8/19/2020 2:00,,3,SSA,5,Heiðskírt
Akureyri,422,8/17/2020 18:00,8/19/2020 3:00,,3,SSA,4,Heiðskírt
Akureyri,422,8/17/2020 18:00,8/19/2020 4:00,,4,S,4,Léttskýjað
Akureyri,422,8/17/2020 18:00,8/19/2020 5:00,,4,S,4,Skýjað
Akureyri,422,8/17/2020 18:00,8/19/2020 6:00,,4,S,4,Alskýjað
Akureyri,422,8/17/2020 18:00,8/19/2020 7:00,,3,S,5,Alskýjað
