Ar,tegund,SU,VE,VF,NV,NE,AU,Samtals
2001,Teista,352,1691,1143,453,315,898,4852
2001,Toppskarfur,236,2349,905,130,58,133,3811
2001,Toppönd,117,163,75,71,204,93,723
2001,Urtönd,541,273,55,163,395,309,1736
2000,Álka,2115,7824,2060,2496,2220,3563,20278
2000,Blesgæs,2135,1113,79,24,51,157,3559
2000,Dílaskarfur,267,946,636,68,153,91,2161
2000,Duggönd,65,32,0,15,81,11,204
2000,Fýll,2894,2296,1500,1628,387,1790,10495
2000,Grágæs,7664,4426,1551,4856,8233,5716,32446
2000,Hávella,94,204,144,440,563,501,1946
2000,Heiðagæs,4178,1180,292,3843,1897,2864,14254
2000,Helsingi,819,58,39,256,42,198,1412
2000,Hettumáfur,357,437,125,197,270,141,1527
2000,Hrafn,425,775,453,681,367,382,3083
2000,Hreindýr,22,5,1,5,16,310,359
2000,Hvítmáfur,258,1104,1767,552,441,129,4251
2000,Kjói,87,270,100,125,552,159,1293
2000,Langvía,5255,30866,4937,10793,6576,8043,66470
2000,Lundi,48871,21942,19149,16614,12364,9276,128216
2000,Minkur,1496,2429,1217,953,1725,816,8636
2000,Rauðhöfði,342,197,14,58,990,81,1682
2000,Refur,604,1266,1401,964,360,817,5412
2000,Rita,323,670,113,230,73,315,1724
2000,Rjúpa,9844,21384,10866,24145,26688,36182,129109
2000,Silfurmáfur,666,1366,1191,526,716,1089,5554
2000,Sílamáfur,2842,18105,2478,1003,1161,1003,26592
2000,Skúfönd,17,25,1,16,16,7,82
2000,Stokkönd,2930,2822,1043,1176,1557,900,10428
2000,Stuttnefja,1127,3931,1182,4392,1435,4473,16540
2000,Súluungar,516,20,1,2,0,292,831
2000,Svartbakur,3476,8522,2500,2379,2108,1193,20178
2000,Teista,701,1296,1170,522,445,538,4672
2000,Toppskarfur,225,1717,530,107,72,132,2783
2000,Toppönd,115,96,84,63,122,79,559
2000,Urtönd,689,239,34,207,981,198,2348
1999,Álka,2269,9974,3220,3617,2692,6174,27946
1999,Blesgæs,1993,1076,69,58,39,84,3319
1999,Dílaskarfur,73,788,462,151,104,79,1657
1999,Duggönd,44,40,7,13,67,12,183
1999,Fýll,2740,1321,1128,1125,321,1104,7739
1999,Grágæs,7540,4385,2111,5555,7687,7760,35038
1999,Hávella,111,217,194,403,282,636,1843
1999,Heiðagæs,4512,1105,463,3100,2137,2586,13903
1999,Helsingi,672,152,56,240,26,230,1376
1999,Hettumáfur,296,496,289,99,598,132,1910
1999,Hrafn,652,1020,858,740,796,489,4555
1999,Hreindýr,6,3,0,1,1,395,406
1999,Hvítmáfur,84,1714,3180,347,79,92,5496
1999,Kjói,147,314,81,145,446,169,1302
1999,Langvía,4750,23500,5094,9681,6159,10613,59797
1999,Lundi,29280,24558,21925,14762,21422,15733,127680
1999,Minkur,1692,2268,1014,794,1288,674,7730
1999,Rauðhöfði,379,188,23,52,99,70,811
1999,Refur,678,1210,1206,755,353,703,4905
1999,Rita,90,499,258,434,151,164,1596
1999,Rjúpa,12338,19356,13692,25288,34246,48343,153263
1999,Silfurmáfur,617,1069,1728,611,479,1785,6289
1999,Sílamáfur,4587,9560,2049,1125,1215,1329,19865
1999,Skúfönd,137,167,34,26,37,72,473
1999,Stokkönd,3077,2381,790,1039,899,1150,9336
1999,Stuttnefja,939,4074,1399,6075,1607,7579,21673
1999,Súluungar,346,31,2,7,3,49,438
1999,Svartbakur,5205,9222,3172,2360,2846,2328,25133
1999,Teista,341,1100,985,544,195,727,3892
1999,Toppskarfur,79,1163,796,52,62,85,2237
1999,Toppönd,101,102,69,42,129,103,546
1999,Urtönd,461,230,38,103,149,209,1190
1998,Álka,2515,5778,2902,4323,2137,7530,25185
1998,Blesgæs,1989,900,19,140,46,151,3245
1998,Dílaskarfur,138,920,535,94,75,132,1894
1998,Duggönd,23,11,11,6,25,11,87
1998,Fýll,2641,1321,2380,668,528,1499,9037
1998,Grágæs,8738,4409,2112,6316,7225,9217,38017
1998,Hávella,87,220,142,451,176,420,1496
1998,Heiðagæs,4797,1075,412,4091,1819,3202,15396
1998,Helsingi,1220,172,82,409,15,385,2283
1998,Hettumáfur,317,1071,255,285,241,137,2306
1998,Hrafn,824,1368,867,828,761,916,5564
1998,Hreindýr,15,1,0,0,8,276,300
1998,Hvítmáfur,195,1317,983,351,119,222,3187
1998,Kjói,242,380,91,311,413,315,1752
1998,Langvía,7451,18703,5052,15759,6006,12641,65612
1998,Lundi,63853,24758,19094,14220,15338,22812,160075
